"gender","age","What language(s) do you usually speak at home?","Please specify which other languages you speak at home","Do you speak only a non-English language, more of a non-English language than English, both equally, more English than a non-English language, or only English?","Next I have some general questions about your health.  Would you say your health in general is...","Did you have a head cold or chest cold that started during those 30 days?","Now I'm going to ask a few questions about milk products. Do not include their use in cooking.  In the past 30 days, how often did you have milk to drink or on your cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea.  Would you say...","The next questions are about meals provided by community or government programs.  In the past 12 months, did you receive any meals delivered to your home from community programs, ""Meals on Wheels"", or any other programs?","In the past 12 months, did you buy food from fast food or pizza places?","If nutrition or health information were readily available in fast food or pizza places, would you use it often, sometimes, rarely, or never, in deciding what to order?","Do you have trouble concentrating on things, such as reading the newspaper or watching TV? Would you say...","Over the last 2 weeks, how often have you been bothered by the following problems: - little interest or pleasure in doing things?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling down, depressed, or hopeless?","Over the last 2 weeks, how often have you been bothered by the following problems: - trouble falling or staying asleep, or sleeping too much?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling tired or having little energy?","Over the last 2 weeks, how often have you been bothered by the following problems: - poor appetite or overeating?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling bad about yourself – or that you are a failure or have let yourself or your family down?","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I worried whether my food would run out before I got money to buy more","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - The food that I bought just didn’t last, and I didn’t have enough money to get more food.","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I couldn’t afford to eat balanced meals.","In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?","Does your work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?","The next questions exclude the physical activities at work that you have already mentioned. Now I would like to ask you about the usual way you to and from places. For example to school, for shopping, to work. In a typical week do you walk or use a bicycle for at least 10 minutes continuously to get to and from places?","In a typical week, on how many days do you walk or bicycle for at least 10 minutes continuously to get to and from places?","Over the past 30 days, on average how many hours per day did you sit and watch TV or videos?"
NA,NA,"{""ImportId"":""QID2""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}"
"Male",71,"Spanish",NA,"Only Non-English language","Excellent","Yes","Often","Yes","Yes","Often","Several days","Not at all","More than half the days","More than half the days","More than half the days","Several days","Several days","Often true","Sometimes true","Sometimes true","3","Yes","Yes","3","less than 1 hour"
"Male",34,"English",NA,NA,"good","No","never","No","Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Male",16,"English",NA,NA,"fair","No","sometimes",NA,"Yes","Never","More than half the days","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Female",65,"English",NA,NA,"good","No","rarely","No","No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Female",36,"English",NA,"Only Non-English language","very good","No","rarely",NA,"No",NA,"Not at all","More than half the days","Not at all","More than half the days","More than half the days","More than half the days","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","4","1 hour"
"Female",47,"English",NA,NA,"poor","No","often","No","Yes","Never","More than half the days","Several days","Not at all","Nearly every day","Nearly every day","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"1 hour"
"Female",43,NA,NA,NA,"fair","No","never",NA,"Yes","Sometimes","Several days","Not at all","More than half the days","Several days","More than half the days","Not at all","Not at all","Sometimes true","Sometimes true","Never true","1","Yes","No",NA,"1 hour"
"Male",25,NA,NA,"Only English",NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"I don't watch TV or videos"
"Male",48,"English",NA,NA,"good","No","often","No","Yes","Sometimes","Not at all","Several days","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
